SKU,brand,department,discount,discount_code
67317D6DCC4CB778AEB9219565F5456B,TYR,Men,10,TYR10
C386CBA5332D11385672EE52D036E8C1,TYR,Men,10,TYR10
B856243E684B903DE6085DC70830792A,TYR,Men,10,TYR10
7428F98008346BB6AA6FC92D257505AB,TYR,Men,10,TYR10
BBDBF47737D418BDC77C73EF28C50A49,TYR,Men,10,TYR10
45E0C0AB1B34C475F4729D0E2B42A142,Hurley,Men,10,Hurley10
27A1E0E31BF1A18797D26F7796F1AE4E,Hurley,Men,10,Hurley10
84FC80BE70D6FFD85F3F172F1F8EA150,Hurley,Men,10,Hurley10
FE103355D7F731A557951558BA906D39,Hurley,Men,10,Hurley10
34AC42F166AAB43CE18D720C21903CDA,Hurley,Men,10,Hurley10
3AF72C083DDB534A6FE310BC744B5809,Hurley,Men,10,Hurley10
3FB2E1B55397557A0F3E4370D3AE2073,Hurley,Men,10,Hurley10
FC2208D8522B90CF01368D83DBFE9906,Hurley,Men,10,Hurley10
388E1FDE50EB5883AD7B020FDB42B250,Hurley,Men,10,Hurley10
3DB0C81B0A25AB06AF83BDE59115DD4B,Hurley,Men,10,Hurley10
30C395DCC0E469D351859F1E0499BD16,TRUNKS,Men,10,TRUNKS10
2EA4096FB5CD947A1AEEAD6447A922A6,Ezekiel,Men,10,Ezekiel10
352DECC1E8F3D97FCDB53AF60CBE1F53,Rufskin,Men,10,Rufskin10
5CC9BBD6C9C018E4642E8BF7292D65CE,Nat Nast,Men,10,NatNast10
2DA5A68C98274485ADC266E224D77B0F,Rip Curl,Men,10,RipCurl10
E54C7A057F1D638A840D301EF7DA5473,Rip Curl,Men,10,RipCurl10
C4CAF9E04A0D4F83565449F2CCE9D5D5,Rip Curl,Men,10,RipCurl10
82166899AA3DB47B87226F5E2ABFBCA7,Rip Curl,Men,10,RipCurl10
C7710CAFF9842968FAC74321FD95B77C,Joe Snyder,Men,10,JoeSnyder10
119E3B320ED9A4694E5173C3B64591F1,555 Turnpike,Men,10,555Turnpike10
8467AE9D40EAB0D2E959428E140468CE,Canyon Ridge,Men,10,CanyonRidge10
1DFBAC99BFB6D351EFE1814D7339E9D9,Tommy Hilfiger,Men,10,TommyHilfiger10
7CF67A2DEF04352826BE6914E1BB5405,LRG,Men,10,LRG10
1952564FDA39FC3BB3638CC1AE8FD239,Clever,Men,10,Clever10
9C5A8459378E1485355E2CB93522E311,Champion,Men,10,Champion10
BF95B1669852932F77DC04F5EE405B7B,Champion,Men,10,Champion10
8483C7571AF3B612E0C3538DA027BE95,Cloudveil,Men,10,Cloudveil10
E17F6CB9DAEC3848CB0CB5DB5ECBCCDF,HUGO BOSS,Men,10,HUGOBOSS10
6D96C43D1905C9A852DBA3DD5370E0C4,HUGO BOSS,Men,10,HUGOBOSS10
04B01177431497D8545941C662C2A3A6,The Beach Depot,Men,10,TheBeachDepot10
00A88476F623E4B554A2277FA4DE42A0,Original Penguin,Men,10,OriginalPenguin10
